# level	area_lvl	n_calexps
6.000000000000000000e+00	5.035761871267001588e+00	1.663600000000000000e+04
7.000000000000000000e+00	1.258940467816750397e+00	6.894000000000000000e+03
8.000000000000000000e+00	3.147351169541875993e-01	2.697000000000000000e+03
9.000000000000000000e+00	7.868377923854689981e-02	5.140000000000000000e+02
1.000000000000000000e+01	1.967094480963672495e-02	3.130000000000000000e+02
1.100000000000000000e+01	4.917736202409181238e-03	2.290000000000000000e+02
1.200000000000000000e+01	1.229434050602295310e-03	1.870000000000000000e+02
1.300000000000000000e+01	3.073585126505738274e-04	1.670000000000000000e+02
1.400000000000000000e+01	7.683962816264345685e-05	1.550000000000000000e+02
1.500000000000000000e+01	1.920990704066086421e-05	1.500000000000000000e+02
1.600000000000000000e+01	4.802476760165216053e-06	1.480000000000000000e+02
1.700000000000000000e+01	1.200619190041304013e-06	1.460000000000000000e+02
1.800000000000000000e+01	3.001547975103260033e-07	1.460000000000000000e+02
1.900000000000000000e+01	7.503869937758150083e-08	1.460000000000000000e+02
