band,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
radius,radius,,,,,,,,,,,,0.019489,0.009744,0.004872,0.002436,0.001218,0.000609,0.000305,0.000152,7.6e-05
u,overlap,,,,,,,,,,,,49,43,40,38,35,34,34,34,34
u,htm,,,,,,,,,,,,48,42,39,37,35,34,34,34,34
g,overlap,,,,,,,,,,,,81,65,56,54,53,52,52,52,52
g,htm,,,,,,,,,,,,76,61,54,53,53,52,52,52,52
r,overlap,,,,,,,,,,,,156,140,124,120,119,118,118,118,118
r,htm,,,,,,,,,,,,148,132,124,119,118,118,118,118,118
i,overlap,,,,,,,,,,,,196,171,159,151,148,147,146,146,145
i,htm,,,,,,,,,,,,187,167,155,150,148,146,146,146,146
z,overlap,,,,,,,,,,,,100,93,88,84,83,83,83,83,83
z,htm,,,,,,,,,,,,92,90,87,83,83,83,83,83,83
y,overlap,,,,,,,,,,,,117,107,99,96,96,94,94,93,93
y,htm,,,,,,,,,,,,117,105,98,96,95,94,94,93,93
total,overlap,,,,,,,,,,,,699,619,566,543,534,528,527,526,525
total,htm,,,,,,,,,,,,668,597,557,538,532,527,526,526,525
