# radius	area	n_calexps
9.999999999999999124e-06	3.141592653589792344e-10	1.450000000000000000e+02
1.778279410038922562e-05	9.934588265796097794e-10	1.450000000000000000e+02
3.162277660168379530e-05	3.141592653589793172e-09	1.450000000000000000e+02
5.623413251903490700e-05	9.934588265796100276e-09	1.450000000000000000e+02
9.999999999999999124e-05	3.141592653589792427e-08	1.460000000000000000e+02
1.778279410038922969e-04	9.934588265796102261e-08	1.460000000000000000e+02
3.162277660168379394e-04	3.141592653589793221e-07	1.460000000000000000e+02
5.623413251903489887e-04	9.934588265796096438e-07	1.470000000000000000e+02
1.000000000000000021e-03	3.141592653589792904e-06	1.480000000000000000e+02
1.778279410038922752e-03	9.934588265796099826e-06	1.500000000000000000e+02
3.162277660168379394e-03	3.141592653589793497e-05	1.530000000000000000e+02
5.623413251903490971e-03	9.934588265796100842e-05	1.620000000000000000e+02
1.000000000000000021e-02	3.141592653589793090e-04	1.710000000000000000e+02
1.778279410038922925e-02	9.934588265796103282e-04	1.930000000000000000e+02
3.162277660168379134e-02	3.141592653589792439e-03	2.350000000000000000e+02
5.623413251903490451e-02	9.934588265796099812e-03	3.050000000000000000e+02
9.999999999999999167e-02	3.141592653589792700e-02	4.710000000000000000e+02
1.778279410038922925e-01	9.934588265796102935e-02	7.960000000000000000e+02
3.162277660168379412e-01	3.141592653589793116e-01	1.631000000000000000e+03
5.623413251903490728e-01	9.934588265796101547e-01	3.747000000000000000e+03
1.000000000000000000e+00	3.141592653589793116e+00	9.553000000000000000e+03
